???,?????,??????????,???????,??????? ??????????????,????????????,???????????,??????,????? ???????? ??????????,??????? ???????? ??????????,????? ???????????? ??????????,??????? ??????????? ??????????,?????
track168,16980,15,0,1132,16980,0,16980,31696,2113.066667,269099040,4235.556162,16980
track169,0,6,0,0,0,0,0,0,0,0,0,0
track170,8700,27,0,322.2222222,8580,0,8580,16515.55556,611.6872428,70827466.67,1619.641783,8700
track171,420,26,0,16.15384615,420,0,420,807.6923077,31.06508876,169615.3846,80.76923077,420
track172,0,17,0,0,0,0,0,0,0,0,0,0
track173,0,16,0,0,0,0,0,0,0,0,0,0
track174,480,18,0,26.66666667,480,0,480,906.6666667,50.37037037,217600,109.9494833,480
track175,360,33,0,10.90909091,180,0,180,676.3636364,20.49586777,60872.72727,42.94913386,360
track176,0,5,0,0,0,0,0,0,0,0,0,0
track177,6000,18,1470,333.3333333,3060,0,3060,10666.66667,592.5925926,16007200,943.0211498,6000
track178,10920,17,0,642.3529412,10500,0,10500,19715.29412,1159.723183,103339905.9,2465.525906,10920
track179,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track180,0,3,0,0,0,0,0,0,0,0,0,0
track181,0,11,0,0,0,0,0,0,0,0,0,0
track182,20040,33,0,607.2727273,14820,0,14820,37050.90909,1122.754821,231759054.5,2650.09465,20040
track183,21960,22,0,998.1818182,19140,0,19140,39927.27273,1814.876033,352371927.3,4002.112665,21960
track184,0,9,0,0,0,0,0,0,0,0,0,0
track185,14280,15,0,952,10560,0,10560,22848,1523.2,104953440,2645.164645,14280
track186,0,6,0,0,0,0,0,0,0,0,0,0
track187,8160,27,0,302.2222222,4920,0,4920,15111.11111,559.6707819,32237866.67,1092.700811,8160
track188,2599,26,0,99.96153846,1459,0,1459,4798.153846,184.5443787,3168480.962,349.0911806,2599
track189,6739,17,4440,396.4117647,4440,0,4440,11892.35294,699.550173,22327582.12,1146.031057,6739
track190,0,16,0,0,0,0,0,0,0,0,0,0
track191,4699,18,0,261.0555556,3619,0,3619,8353.777778,464.0987654,13036860.94,851.0405704,4699
track192,22819,33,0,691.4848485,9420,0,9420,38723.15152,1173.428834,146086248.2,2104.009507,22819
track193,0,5,0,0,0,0,0,0,0,0,0,0
track194,8659,18,0,481.0555556,3379,0,3379,14191.66667,788.4259259,20932180.94,1078.377921,8659
track195,0,17,0,0,0,0,0,0,0,0,0,0
track196,0,9,0,0,0,0,0,0,0,0,0,0
track197,0,3,0,0,0,0,0,0,0,0,0,0
track198,6180,11,0,561.8181818,5040,0,5040,9752.727273,886.6115702,22883563.64,1442.332821,6180
track199,6019,33,0,182.3939394,3540,0,3540,10943.63636,331.6253444,16504491.88,707.2030243,6019
track200,0,22,0,0,0,0,0,0,0,0,0,0
track201,0,9,0,0,0,0,0,0,0,0,0,0
track202,17179,15,0,1145.266667,8198,0,8198,27486.4,1832.426667,90504548.93,2456.346188,17179
track203,5340,6,0,890,5340,0,5340,8900,1483.333333,23763000,1990.1005,5340
track204,7939,27,0,294.037037,5520,0,5520,14701.85185,544.5130316,33987600.96,1121.962582,7939
track205,4380,26,0,168.4615385,3240,0,3240,8086.153846,311.0059172,11059338.46,652.1956544,4380
track206,720,17,720,42.35294118,720,0,720,1355.294118,79.72318339,487905.8824,169.4117647,720
track207,0,16,0,0,0,0,0,0,0,0,0,0
track208,5280,18,0,293.3333333,4680,0,4680,9386.666667,521.4814815,20713600,1072.732751,5280
track209,21120,33,0,640,11040,0,11040,39680,1202.424242,209971200,2522.45191,21120
track210,0,5,0,0,0,0,0,0,0,0,0,0
track211,19560,18,0,1086.666667,17700,0,17700,34773.33333,1931.851852,295494400,4051.710201,19560
track212,26280,17,0,1545.882353,20880,0,20880,43976.47059,2586.851211,414428611.8,4937.423785,26280
track213,2280,9,0,253.3333333,2280,0,2280,4053.333333,450.3703704,4620800,716.5348716,2280
track214,0,3,0,0,0,0,0,0,0,0,0,0
track215,0,11,0,0,0,0,0,0,0,0,0,0
